UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,scores
Mad For NFTs || NFT DAO VC,@Madfornfts,2023-01-25T18:04:29.000Z,"Mad For NFTs || NFT DAO VC
@Madfornfts
·
Jan 26","The Sandbox said on the 22nd January that they would be releasing a scene experience known as “Chongqing Underground City.” This was inspired by the novel the wandering earth Wandering Earth,”  Read More: ",🤝,43,44,55,['https://pbs.twimg.com/media/FnVjUCwaMAUvm7y?format=jpg&name=small'],https://twitter.com/Madfornfts/status/1618308841325883392,[1]
Jinjiang,@zhaojinjiang,2023-01-25T02:50:30.000Z,"Jinjiang
@zhaojinjiang
·
Jan 25","the wandering earth Wandering Earth II (2023) #IMDb  Unbelievable Chinese-style Sci-Fi And looking forward to its III  imdb.com the wandering earth Wandering Earth II (2023) - IMDb the wandering earth Wandering Earth II: Directed by Frant Gwo. With Andy Lau, Jing Wu, Zina Blahusova, Clara Lee. Humans built huge engines on the surface of the earth to find a new home. But the road to the... 1,004",📷 👀 📷 👀 📷 👀,,,,['https://pbs.twimg.com/card_img/1617795384872669184/0HP7BVpb?format=jpg&name=900x900'],https://twitter.com/zhaojinjiang/status/1618078832166338560,"[0, 0, 0]"
